Window,Path,Type,CommitDate
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\labels\IntervalCategoryToolTipGenerator.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\legend\LegendTitleTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\UnknownKeyException.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\xml\PieDatasetHandler.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\plot\Crosshair.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\data\DomainOrderTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\Range.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\plot\dial\DialPointerTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\statistics\MeanAndStandardDeviation.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\axis\CompassFormat.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\renderer\xy\XYDifferenceRenderer.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\renderer\NotOutlierException.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\labels\StandardXYZToolTipGeneratorTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\plot\CrosshairState.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\renderer\category\BoxAndWhiskerRendererTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\plot\pie\AbstractPieLabelDistributor.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\renderer\category\StackedBarRenderer.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\plot\dial\DialPointer.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\labels\StandardXYItemLabelGeneratorTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\category\SlidingCategoryDataset.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\urls\CustomCategoryURLGenerator.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\renderer\xy\YIntervalRenderer.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\test\java\org\jfree\chart\axis\LogAxisTest.java,Test,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\data\general\PieDataset.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\labels\BubbleXYItemLabelGenerator.java,Production,2025-05-20 18:02:33 +0200
W1,C:\Users\Muhammad Sohaib Arif\repos\jfreechart\src\main\java\org\jfree\chart\swing\MouseWheelHandler.java,Production,2025-05-20 18:02:33 +0200
